IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone
751104008,2827.29642240215,909.466004280144,32.17,471.865420688497,51.88
751104009,1965.11307149978,415.1361590784834,21.13,182.914195075626,44.06
751104010,1635.58559356033,709.475577305353,43.38,217.513851096041,30.66
751104011,1792.94915622516,403.6635471609922,22.51,219.9343411573382,54.48
751104012,113.92935172659,21.196158460761,18.6,5.29903961519024,25.0
751104088,0.0,0.0,,0.0,
751114101,2635.30471715285,921.05910884235,34.95,326.5481146983885,35.45
751114102,2007.38589267017,450.6320915580759,22.45,248.6839531983083,55.19
751114103,1502.69466882106,390.6314317417922,26.0,181.4060120481869,46.44
751114104,1485.93666882838,338.68494181084714,22.79,170.5959799568269,50.37
751114105,1808.84889571669,525.7245240774572,29.06,194.4085237205203,36.98
751114106,2048.3256257778,613.4155574449921,29.95,277.11856635240787,45.18
751114107,2391.20450497782,644.9181544369627,26.97,272.8193116818199,42.3
751114108,1913.68999695669,440.4876881239452,23.02,238.1284720014352,54.06
751114109,2383.15008253451,493.0837663736302,20.69,270.27243373401467,54.81
751114110,1412.11631023562,383.8643249485976,27.18,151.60718443268615,39.49
751114111,1285.41572466505,274.4074817994392,21.35,95.51684205732757,34.81
751114112,1528.82975864195,648.1381701161922,42.39,337.6758987042391,52.1
751114113,1246.71395017322,280.8861137437924,22.53,120.22052906960039,42.8
751114114,1350.79055519621,279.2078144658946,20.67,136.74420652761412,48.98
751114115,1761.60868390759,451.115107939699,25.61,202.6364709665843,44.92
751114201,1699.11991613429,433.3170487726083,25.5,191.30866912057792,44.15
751114202,1913.74540779839,557.5103596023368,29.13,193.6763427748146,34.74
751114203,2294.32669952621,722.4947549718322,31.49,341.63733720141454,47.29
751114204,2110.19114649148,483.6205527596737,22.92,266.8257727736157,55.17
751114205,1736.23663862726,573.4125516375576,33.03,219.2887727382709,38.24
751114206,2565.49187261334,815.142938370719,31.77,341.5022761792869,41.89
751114207,1777.23221816639,704.6338094417359,39.65,351.561233561113,49.89
751114208,1907.98068207702,795.730578551018,41.71,311.0587908023732,39.09
751114209,2263.36112281026,634.0303018403674,28.01,198.4006242018034,31.29
751114210,2652.14643600415,866.856219691985,32.69,379.5402748601393,43.78
751114211,1670.92150783724,528.1963243211342,31.61,253.18837579397768,47.93
751114212,1576.57095760928,560.652220309122,35.56,217.4344625685593,38.78
751114213,1689.62766620894,419.561412963839,24.83,181.5628832797234,43.27
751114214,1433.47433511727,385.5252517084219,26.89,182.53839124904832,47.35
751114301,1656.30173819133,516.15385406269,31.16,241.972389219929,46.88
751114302,3659.26799471573,1250.73704709101,34.18,482.51206181504733,38.58
751114303,1362.17564008554,526.1096318542872,38.62,284.368709451741,54.05
751114304,1548.30368844787,355.6240835556027,22.97,158.5046118107515,44.57
751114305,2951.4620389568,890.517694752068,30.17,493.27544465204153,55.39
751114306,2520.32871010117,634.1614092205455,25.16,328.1069144784031,51.74
751114307,2295.98682022911,800.939148584863,34.88,346.0409703636699,43.2
751114308,1402.64463486988,412.0610497501433,29.38,121.4390452570828,29.47
751114309,1314.36789518875,429.8092131232765,32.7,191.34723383853782,44.52
751114310,1657.16169359336,444.7852343286395,26.84,219.0879384275838,49.26
751114311,1532.19882020517,357.6054972798107,23.34,173.55844914424569,48.53
751114312,1399.04556047274,462.47915120247313,33.06,188.3406409772891,40.72
751114313,1794.26478329662,608.991572129317,33.94,205.4091475162358,33.73
751114314,1812.74845331456,609.8776855175997,33.64,280.1077390354374,45.93
751114315,1781.81491295749,530.457871503102,29.77,211.2190563674305,39.82
751114316,1749.96319888988,425.3193394678607,24.3,194.1418769161177,45.65
751114317,1796.17559609788,478.9534598324127,26.67,254.94459722259512,53.23
751114318,1930.54591274601,428.00793575454566,22.17,163.2343117120901,38.14
751114319,1751.32384177871,734.8832887746958,41.96,232.6712986501622,31.66
751114320,1876.16866705683,669.779759809109,35.7,434.049581911581,64.8
751114321,1695.57460982563,460.6529314019913,27.17,202.2951180028922,43.91
751114401,1824.65991583589,577.748632307765,31.66,273.816310190383,47.39
751114402,2014.57909335366,657.662444866386,32.65,309.8390142132319,47.11
751114403,2001.7692372722,436.1933522551082,21.79,179.71365982634808,41.2
751114404,1897.54993555286,568.5297901121573,29.96,262.6454051181903,46.2
751114405,1630.30288231328,473.47652557876563,29.04,207.46004684687352,43.82
751114406,2453.51443245625,721.3229868423031,29.4,363.80840542396624,50.44
751114407,1698.56624515894,435.37753054877663,25.63,180.38425401821792,41.43
751114408,2685.51854250705,925.326123946053,34.46,344.4067791807953,37.22
751114409,2779.46250866285,756.216277800454,27.21,339.08716391523274,44.84
751114410,3770.83467959586,1459.7246003365058,38.71,526.93293258521,36.1
751114411,3541.59877524174,1108.757895339307,31.31,489.6346929105106,44.16
751114412,2858.06388181432,955.1807633458809,33.42,410.52103197944103,42.98
751114413,2354.92978882482,752.258777363397,31.94,282.4918049634798,37.55
751124501,2973.97872367706,1269.4828700569549,42.69,658.8520248240759,51.9
751124502,3394.81868730909,966.1982831545649,28.46,403.3904474506168,41.75
751124503,2007.15378780979,693.555608180103,34.55,214.9629005335606,30.99
751124504,2303.02824829803,731.327512701981,31.76,278.7567291884599,38.12
751124505,1941.30518011682,643.1369268257093,33.13,272.32645673056606,42.34
751124506,1685.01922438169,600.033618074342,35.61,253.4835205025443,42.24
751124507,1941.52530969832,859.757535788714,44.28,349.225933823321,40.62
751124508,1979.75372253173,644.558376986086,32.56,325.3662910358998,50.48
751124509,1573.79992464399,498.949395964972,31.7,208.81537294304212,41.85
751124510,1590.52378789753,522.888363471257,32.88,215.43842369706329,41.2
751124511,2140.84057665565,868.773143319432,40.58,306.7020640433659,35.3
751124512,3686.64075208348,1409.311554480761,38.23,614.211020719847,43.58
751124513,1779.65460607409,707.709167518406,39.77,295.387341562043,41.74
751124514,1628.22170853114,602.287962935392,36.99,224.3974562806605,37.26
751124577,316.423047676834,16.703477945733,5.28,0.0,0.0
751124601,2991.28661601621,1031.441247176565,34.48,343.46264672655195,33.3
751124602,2260.19036597504,839.177262171441,37.13,315.438589620359,37.59
751124603,1393.7835816708,635.499612593487,45.6,323.08483672686305,50.84
751124604,1948.5240614929,636.243678104378,32.65,313.4119051469147,49.26
751124605,1932.61371260178,595.58126417264,30.82,288.6582875433678,48.47
751124606,2275.95464305578,880.01103797127,38.67,419.4117101138237,47.66
751124608,1799.42398671313,636.762268225362,35.39,341.456111197877,53.62
751124609,1753.60114015439,581.735961167004,33.17,201.16455535850508,34.58
751124610,1969.68244342218,473.15855416246137,24.02,169.6076472732129,35.85
751124611,1656.24312567515,516.905220236423,31.21,247.6902141572454,47.92
751124612,2296.41936369721,678.122525585704,29.53,368.9609807192844,54.41
751124613,3361.28086451835,1005.5476951213819,29.92,305.5585669737685,30.39
751124614,3331.83777357473,1726.8116591766998,51.83,628.032424487747,36.37
751124615,3177.58966088319,1230.823008348843,38.73,389.061260025916,31.61
751124616,4187.73110174972,1712.5665242286868,40.89,631.1906813285909,36.86
751124617,2335.99496961251,953.121512755467,40.8,354.9154399842572,37.24
751124618,1965.57981801226,800.58446000295,40.73,363.725177207835,45.43
751124619,3626.62556271658,1368.580289959786,37.74,578.673186522878,42.28
751124620,1701.23358991614,535.0561796213461,31.45,185.2483167884767,34.62
